case_id,case_type,fold,seed,image_id,rgb_fn,dual_fp,gate_fp,gate_fn,why_selected,image_path
rgb_miss_rescued_by_gateA_1,rgb_miss_rescued_by_gateA,2,42,fireman_video_002_frame_000876,1,8,5,0,RGB 1FN → GateA 0FN (rescued 1),/mnt/topic2_datasets/fire_loco_fold2_nirfree/images/val/fireman_video_002_frame_000876.jpg
rgb_miss_rescued_by_gateA_2,rgb_miss_rescued_by_gateA,2,42,fireman_video_002_frame_000881,1,12,6,0,RGB 1FN → GateA 0FN (rescued 1),/mnt/topic2_datasets/fire_loco_fold2_nirfree/images/val/fireman_video_002_frame_000881.jpg
rgb_miss_rescued_by_gateA_3,rgb_miss_rescued_by_gateA,2,42,fireman_video_002_frame_000882,1,17,6,0,RGB 1FN → GateA 0FN (rescued 1),/mnt/topic2_datasets/fire_loco_fold2_nirfree/images/val/fireman_video_002_frame_000882.jpg
dual_fp_rejected_by_gateA_1,dual_fp_rejected_by_gateA,2,42,fireman_video_002_frame_000328,1,117,60,1,Dual 117FP → GateA 60FP (rejected 57),/mnt/topic2_datasets/fire_loco_fold2_nirfree/images/val/fireman_video_002_frame_000328.jpg
dual_fp_rejected_by_gateA_2,dual_fp_rejected_by_gateA,2,42,fireman_video_002_frame_000474,1,103,49,1,Dual 103FP → GateA 49FP (rejected 54),/mnt/topic2_datasets/fire_loco_fold2_nirfree/images/val/fireman_video_002_frame_000474.jpg
dual_fp_rejected_by_gateA_3,dual_fp_rejected_by_gateA,2,42,fireman_video_002_frame_000296,1,112,63,1,Dual 112FP → GateA 63FP (rejected 49),/mnt/topic2_datasets/fire_loco_fold2_nirfree/images/val/fireman_video_002_frame_000296.jpg
harmful_thermal_collapse_1,harmful_thermal_collapse,2,42,fireman_video_002_frame_000407,1,114,71,1,RGB 33FP → Dual 114FP (harm +81FP),/mnt/topic2_datasets/fire_loco_fold2_nirfree/images/val/fireman_video_002_frame_000407.jpg
harmful_thermal_collapse_2,harmful_thermal_collapse,2,42,fireman_video_002_frame_000296,1,112,63,1,RGB 33FP → Dual 112FP (harm +79FP),/mnt/topic2_datasets/fire_loco_fold2_nirfree/images/val/fireman_video_002_frame_000296.jpg
thermal_helpful_retained_1,thermal_helpful_retained,1,42,rgbt3m_video10_frame_00098,1,3,3,0,"Dual +1TP, GateA retains 1/1 (100%)",/mnt/topic2_datasets/fire_loco_fold1/images/val/rgbt3m_video10_frame_00098.jpg
thermal_helpful_retained_2,thermal_helpful_retained,1,42,rgbt3m_video10_frame_00100,1,1,3,0,"Dual +1TP, GateA retains 1/1 (100%)",/mnt/topic2_datasets/fire_loco_fold1/images/val/rgbt3m_video10_frame_00100.jpg
thermal_helpful_retained_3,thermal_helpful_retained,1,42,rgbt3m_video10_frame_00112,2,1,8,1,"Dual +1TP, GateA retains 1/1 (100%)",/mnt/topic2_datasets/fire_loco_fold1/images/val/rgbt3m_video10_frame_00112.jpg
