case_id,case_type,fold,seed,image_id,image_path,rgb_tp,rgb_fp,rgb_fn,dual_tp,dual_fp,dual_fn,gate_tp,gate_fp,gate_fn,score,why_selected
rgb_miss_rescued_by_gateA_1,rgb_miss_rescued_by_gateA,2,42,fireman_video_002_frame_000876,/mnt/topic2_datasets/fire_loco_fold2_nirfree/images/val/fireman_video_002_frame_000876.jpg,0,5,1,1,8,0,1,5,0,1,RGB 1FN → GateA 0FN (rescued 1)
rgb_miss_rescued_by_gateA_2,rgb_miss_rescued_by_gateA,2,42,fireman_video_002_frame_000881,/mnt/topic2_datasets/fire_loco_fold2_nirfree/images/val/fireman_video_002_frame_000881.jpg,0,6,1,1,12,0,1,6,0,1,RGB 1FN → GateA 0FN (rescued 1)
rgb_miss_rescued_by_gateA_3,rgb_miss_rescued_by_gateA,2,42,fireman_video_002_frame_000882,/mnt/topic2_datasets/fire_loco_fold2_nirfree/images/val/fireman_video_002_frame_000882.jpg,0,6,1,1,17,0,1,6,0,1,RGB 1FN → GateA 0FN (rescued 1)
dual_fp_rejected_by_gateA_1,dual_fp_rejected_by_gateA,2,42,fireman_video_002_frame_000328,/mnt/topic2_datasets/fire_loco_fold2_nirfree/images/val/fireman_video_002_frame_000328.jpg,1,38,1,1,117,1,1,60,1,57,Dual 117FP → GateA 60FP (rejected 57)
dual_fp_rejected_by_gateA_2,dual_fp_rejected_by_gateA,2,42,fireman_video_002_frame_000474,/mnt/topic2_datasets/fire_loco_fold2_nirfree/images/val/fireman_video_002_frame_000474.jpg,1,28,1,1,103,1,1,49,1,54,Dual 103FP → GateA 49FP (rejected 54)
dual_fp_rejected_by_gateA_3,dual_fp_rejected_by_gateA,2,42,fireman_video_002_frame_000296,/mnt/topic2_datasets/fire_loco_fold2_nirfree/images/val/fireman_video_002_frame_000296.jpg,1,33,1,1,112,1,1,63,1,49,Dual 112FP → GateA 63FP (rejected 49)
harmful_thermal_collapse_1,harmful_thermal_collapse,2,42,fireman_video_002_frame_000407,/mnt/topic2_datasets/fire_loco_fold2_nirfree/images/val/fireman_video_002_frame_000407.jpg,1,33,1,1,114,1,1,71,1,81,RGB 33FP → Dual 114FP (harm +81FP)
harmful_thermal_collapse_2,harmful_thermal_collapse,2,42,fireman_video_002_frame_000296,/mnt/topic2_datasets/fire_loco_fold2_nirfree/images/val/fireman_video_002_frame_000296.jpg,1,33,1,1,112,1,1,63,1,79,RGB 33FP → Dual 112FP (harm +79FP)
thermal_helpful_retained_1,thermal_helpful_retained,1,42,rgbt3m_video10_frame_00098,/mnt/topic2_datasets/fire_loco_fold1/images/val/rgbt3m_video10_frame_00098.jpg,0,2,1,1,3,0,1,3,0,1.0,"Dual +1TP, GateA retains 1/1 (100%)"
thermal_helpful_retained_2,thermal_helpful_retained,1,42,rgbt3m_video10_frame_00100,/mnt/topic2_datasets/fire_loco_fold1/images/val/rgbt3m_video10_frame_00100.jpg,0,2,1,1,1,0,1,3,0,1.0,"Dual +1TP, GateA retains 1/1 (100%)"
thermal_helpful_retained_3,thermal_helpful_retained,1,42,rgbt3m_video10_frame_00112,/mnt/topic2_datasets/fire_loco_fold1/images/val/rgbt3m_video10_frame_00112.jpg,0,7,2,1,1,1,1,8,1,1.0,"Dual +1TP, GateA retains 1/1 (100%)"
